Disco Messages
Device Address,Device Name,Disco

Parameters
Device Path,Device Name,Node Addr (hex),Node Addr (dec),Object Addr (hex),Object Addr (dec),Parameter Path,Parameter,Command Type,Value,Command
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000137",311,Audio [0x3] : Detroit Wall Source Meter [0.1.37],Meter [0x0],Subscribe,0ms,\x02\x89\x00\x01\x1B\x83\x00\x01\x37\x00\x00\x00\x00\x00\x00\xBD\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000139",313,Audio [0x3] : Detroit Rack Source Meter [0.1.39],Meter [0x0],Subscribe,0ms,\x02\x89\x00\x01\x1B\x83\x00\x01\x39\x00\x00\x00\x00\x00\x00\xB3\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300013B",315,Audio [0x3] : Detroit Video Source Meter [0.1.3B],Meter [0x0],Subscribe,0ms,\x02\x89\x00\x01\x1B\x83\x00\x01\x3B\x00\x00\x00\x00\x00\x00\xB1\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300013D",317,Audio [0x3] : Detroit Portable Mixer Gain [0.1.3D],Gain [0x0],Bump %,5%,\x02\x90\x00\x01\x1B\x83\x00\x01\x3D\x00\x00\x00\x05\x00\x00\xAB\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300013D",317,Audio [0x3] : Detroit Portable Mixer Gain [0.1.3D],Mute [0x1],Set,Unmuted,\x02\x88\x00\x01\x1B\x83\x00\x01\x3D\x00\x01\x00\x00\x00\x00\xB7\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300013D",317,Audio [0x3] : Detroit Portable Mixer Gain [0.1.3D],Mute [0x1],Set,Muted,\x02\x88\x00\x01\x1B\x83\x00\x01\x3D\x00\x01\x00\x00\x00\x01\xB6\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300013F",319,Audio [0x3] : Detroit Portable Mixer Meter [0.1.3F],Meter [0x0],Subscribe,0ms,\x02\x89\x00\x01\x1B\x83\x00\x01\x3F\x00\x00\x00\x00\x00\x00\xB5\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000141",321,Audio [0x3] : Automix Mic 1 Meter [0.1.41],Meter [0x0],Subscribe,0ms,\x02\x89\x00\x01\x1B\x83\x00\x01\x41\x00\x00\x00\x00\x00\x00\xCB\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000142",322,Audio [0x3] : AutoMix Mic 2 Meter [0.1.42],Meter [0x0],Subscribe,0ms,\x02\x89\x00\x01\x1B\x83\x00\x01\x42\x00\x00\x00\x00\x00\x00\xC8\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000143",323,Audio [0x3] : Automix Mic 3 Meter [0.1.43],Meter [0x0],Subscribe,0ms,\x02\x89\x00\x01\x1B\x83\x00\x01\x43\x00\x00\x00\x00\x00\x00\xC9\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000144",324,Audio [0x3] : Automix Mic 4 Meter [0.1.44],Meter [0x0],Subscribe,0ms,\x02\x89\x00\x01\x1B\x83\x00\x01\x44\x00\x00\x00\x00\x00\x00\xCE\x03
